,id_estudiante,propuesta,estado_inscripcion,fecha_ingreso,fecha_inscripcion,ingreso_aprobadas,ingreso_libres,ingreso_totales,cursadas_aprobadas,cursadas_regulares,cursadas_libres,cursadas_totales,inscripciones_examenes,examenes_aprobados,anio_ingreso,fecha_ultimo_examen,anio_ultima_reinscripcion,promedio_sin_aplazos,promedio_con_aplazos,actividades_aprobadas,total_actividades,regular,calidad,segundo_anio
10,CA-016529-3,130,Pendiente,01/04/2020,04/02/2020,0,2,2,0,0,0,3,0,0,2020,20/08/2021,2021.0,4.5,7.0,5,42,S,A,S
11,CA-016549-8,130,Pendiente,01/04/2020,10/02/2020,2,0,2,0,0,0,3,0,0,2020,,2021.0,7.0,7.0,2,42,S,A,N
12,CA-016159-0,130,Pendiente,01/04/2020,28/11/2019,1,1,2,0,0,0,3,0,0,2020,,,7.0,7.0,1,42,N,P,N
13,CA-016156-5,130,Aceptado,01/04/2020,25/11/2019,0,2,2,1,1,1,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
14,CA-016535-8,130,Aceptado,01/04/2020,04/02/2020,1,1,2,0,0,3,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
15,CA-016175-1,130,Pendiente,01/04/2020,04/12/2019,2,0,2,0,0,0,3,0,0,2020,,,8.0,8.0,1,42,N,P,N
16,CA-007459-0,130,Aceptado,01/04/2020,26/02/2020,1,1,2,1,0,2,3,0,0,2020,,2021.0,7.0,7.0,15,42,S,A,S
17,CA-013037-6,130,Aceptado,01/04/2020,21/11/2019,1,1,2,2,0,1,3,0,0,2020,,2021.0,7.5,7.5,6,42,S,A,S
18,CA-016201-4,130,Aceptado,01/04/2020,11/12/2019,0,2,2,0,0,3,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
19,CA-016173-5,130,Pendiente,01/04/2020,04/12/2019,1,1,2,0,0,0,3,0,0,2020,,2021.0,6.8,6.8,5,42,S,A,S
20,CA-016522-6,130,Pendiente,01/04/2020,04/02/2020,1,1,2,0,0,0,3,0,0,2020,16/03/2021,2021.0,7.67,7.67,3,42,S,A,N
21,CA-016540-4,130,Pendiente,01/04/2020,05/02/2020,2,0,2,0,0,0,3,0,0,2020,,,9.0,9.0,1,42,N,P,N
22,CA-010330-1,130,Aceptado,01/04/2020,21/11/2019,1,1,2,1,1,1,3,0,0,2020,,2021.0,7.2,7.2,5,42,S,A,S
23,CA-016155-7,130,Aceptado,01/04/2020,22/11/2019,1,1,2,0,0,3,3,0,0,2020,,2021.0,6.33,6.33,3,42,S,A,N
24,CA-016213-8,130,Aceptado,01/04/2020,13/12/2019,1,1,2,0,1,2,3,0,0,2020,,2021.0,6.0,6.0,2,42,S,A,N
25,CA-016210-3,130,Aceptado,01/04/2020,12/12/2019,0,2,2,0,0,3,3,0,0,2020,15/12/2020,2021.0,7.17,7.17,6,42,S,A,S
26,CA-016577-3,130,Pendiente,01/04/2020,14/02/2020,1,1,2,0,0,0,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
27,CA-016545-5,130,Aceptado,01/04/2020,06/02/2020,1,1,2,0,0,3,3,0,0,2020,,2021.0,7.0,7.0,4,42,S,A,N
28,CA-003269-2,130,Aceptado,01/04/2020,22/11/2019,1,1,2,0,0,3,3,0,0,2020,,2021.0,6.58,6.58,18,42,S,A,S
29,CA-016220-1,130,Pendiente,01/04/2020,13/12/2019,1,1,2,0,0,0,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
30,CA-016160-3,130,Pendiente,01/04/2020,28/11/2019,2,0,2,0,0,0,3,0,0,2020,23/08/2021,2021.0,6.0,6.0,6,42,S,A,S
31,CA-016225-1,130,Pendiente,01/04/2020,16/12/2019,2,0,2,0,0,0,3,0,0,2020,,,9.0,9.0,1,42,N,P,N
32,CA-010656-4,130,Aceptado,01/04/2020,15/11/2019,1,1,2,0,0,3,3,0,0,2020,,2021.0,8.0,8.0,3,42,S,A,N
33,CA-016546-3,130,Pendiente,01/04/2020,06/02/2020,2,0,2,0,0,0,3,0,0,2020,,2021.0,8.0,8.0,2,42,S,A,N
34,CA-015902-1,130,Pendiente,01/04/2020,06/12/2019,1,1,2,0,0,0,3,0,0,2020,,,6.0,6.0,1,42,N,P,N
35,CB-015902-2,134,Pendiente,01/04/2020,06/12/2019,2,0,2,0,0,0,3,0,0,2020,,,6.0,6.0,1,40,N,P,N
36,CA-016553-6,130,Pendiente,01/04/2020,10/02/2020,1,1,2,0,0,0,3,0,0,2020,,2021.0,6.0,6.0,2,42,S,A,N
37,CA-015912-9,130,Aceptado,01/04/2020,06/12/2019,2,0,2,0,0,3,3,0,0,2020,,,6.0,6.0,1,42,N,P,N
38,CA-016170-1,130,Aceptado,01/04/2020,03/12/2019,1,1,2,0,0,3,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
39,CA-016196-4,130,Aceptado,01/04/2020,10/12/2019,2,0,2,0,1,2,3,0,0,2020,20/08/2021,2021.0,6.64,7.1,10,42,S,A,S
40,CA-016547-1,130,Pendiente,01/04/2020,06/02/2020,2,0,2,0,0,0,3,0,0,2020,,2021.0,6.8,6.8,5,42,S,A,S
41,CA-008316-5,130,Aceptado,01/04/2020,14/11/2019,1,1,2,1,0,2,3,0,0,2020,,2021.0,6.91,6.91,29,42,S,A,S
42,CA-016199-9,130,Pendiente,01/04/2020,11/12/2019,1,1,2,0,0,0,3,0,0,2020,19/08/2021,2021.0,7.54,7.54,18,42,S,A,S
43,CB-015852-2,134,Pendiente,01/04/2020,03/12/2019,0,2,2,0,0,0,3,0,0,2020,,2021.0,7.5,7.5,2,40,S,A,N
44,CA-016176-0,130,Pendiente,01/04/2020,04/12/2019,1,1,2,0,0,0,3,0,0,2020,20/08/2021,2021.0,6.14,7.4,5,42,S,A,S
45,CA-016207-3,130,Aceptado,01/04/2020,12/12/2019,0,2,2,0,1,2,3,0,0,2020,03/08/2021,2021.0,7.33,7.33,4,42,S,A,N
46,CA-016576-5,130,Aceptado,01/04/2020,14/02/2020,0,2,2,0,1,2,3,0,0,2020,,,7.0,7.0,1,42,N,P,N
47,CA-016203-1,130,Pendiente,01/04/2020,11/12/2019,1,1,2,0,0,0,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
48,CA-016568-4,130,Aceptado,01/04/2020,13/02/2020,1,1,2,0,0,3,3,1,1,2020,19/08/2021,2021.0,7.5,7.5,6,42,S,A,S
49,CA-016217-1,130,Pendiente,01/04/2020,13/12/2019,2,0,2,0,0,0,3,0,0,2020,05/08/2021,2021.0,6.0,6.25,4,42,S,A,N
50,CA-009394-2,130,Aceptado,01/04/2020,26/02/2020,2,0,2,1,1,1,3,0,0,2020,,2021.0,7.18,7.18,33,42,S,A,S
51,CA-016246-4,130,Pendiente,01/04/2020,18/12/2019,1,1,2,0,0,0,3,0,0,2020,23/08/2021,2021.0,7.82,7.82,17,42,S,A,S
52,CA-016144-1,130,Aceptado,01/04/2020,19/11/2019,1,1,2,1,0,2,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
53,CA-016536-6,130,Aceptado,01/04/2020,04/02/2020,1,1,2,1,0,2,3,0,0,2020,20/08/2021,2021.0,6.25,7.67,3,42,S,A,N
54,CB-015899-9,134,Aceptado,01/04/2020,05/12/2019,2,0,2,1,0,2,3,0,0,2020,,2021.0,8.0,8.0,2,40,S,A,N
55,CA-016561-7,130,Aceptado,01/04/2020,11/02/2020,0,2,2,0,2,1,3,0,0,2020,,,7.0,7.0,1,42,N,P,N
56,CA-016227-8,130,Aceptado,01/04/2020,16/12/2019,0,2,2,0,1,2,3,0,0,2020,18/08/2021,2021.0,7.5,7.5,6,42,S,A,S
57,CA-016567-6,130,Aceptado,01/04/2020,13/02/2020,1,1,2,1,0,2,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
58,CA-016562-5,130,Aceptado,01/04/2020,11/02/2020,1,1,2,1,1,1,3,1,0,2020,,2021.0,7.0,7.0,2,42,S,A,N
59,CA-016571-4,130,Pendiente,01/04/2020,14/02/2020,2,0,2,0,0,0,3,0,0,2020,20/08/2021,2021.0,6.6,7.75,4,42,S,A,N
60,CA-016185-9,130,Aceptado,01/04/2020,06/12/2019,1,1,2,0,1,2,3,0,0,2020,,2021.0,7.0,7.0,2,42,S,A,N
61,CA-016218-9,130,Pendiente,01/04/2020,13/12/2019,1,1,2,0,0,0,3,0,0,2020,18/08/2021,2021.0,7.33,7.33,5,42,S,A,S
62,CA-016533-1,130,Aceptado,01/04/2020,04/02/2020,1,1,2,0,0,3,3,0,0,2020,05/08/2021,2021.0,7.0,7.33,9,42,S,A,S
63,CA-016248-1,130,Pendiente,01/04/2020,18/12/2019,0,2,2,0,0,0,3,0,0,2020,20/08/2021,2021.0,4.57,7.67,3,42,S,A,N
64,CA-016188-3,130,Pendiente,01/04/2020,09/12/2019,1,1,2,0,0,0,3,0,0,2020,,,8.0,8.0,1,42,N,P,N
65,CA-016569-2,130,Aceptado,01/04/2020,13/02/2020,1,1,2,0,0,3,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
66,CA-008718-7,130,Aceptado,01/04/2020,14/02/2020,2,0,2,0,1,2,3,0,0,2020,,2021.0,6.83,6.83,12,42,S,A,S
67,CA-016198-1,130,Pendiente,01/04/2020,11/12/2019,2,0,2,0,0,0,3,0,0,2020,20/08/2021,2021.0,4.25,6.5,2,42,S,A,N
68,CA-011515-6,130,Aceptado,01/04/2020,15/11/2019,1,1,2,0,2,1,3,0,0,2020,,2021.0,7.36,7.36,14,42,S,A,S
69,CA-016174-3,130,Pendiente,01/04/2020,04/12/2019,2,0,2,0,0,0,3,0,0,2020,05/08/2021,2021.0,4.5,6.75,4,42,S,A,N
70,CA-016161-1,130,Pendiente,01/04/2020,29/11/2019,2,0,2,0,0,0,3,0,0,2020,23/08/2021,2021.0,6.58,7.1,12,42,S,A,S
71,CA-009376-4,130,Aceptado,01/04/2020,13/02/2020,1,1,2,1,1,1,3,0,0,2020,,2021.0,7.57,7.57,14,42,S,A,S
72,CB-015853-1,134,Pendiente,01/04/2020,03/12/2019,0,2,2,0,0,0,3,0,0,2020,20/08/2021,2021.0,6.08,7.11,9,40,S,A,S
73,CA-016200-6,130,Aceptado,01/04/2020,11/12/2019,1,1,2,1,0,2,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
74,CA-016241-3,130,Aceptado,01/04/2020,17/12/2019,2,0,2,0,1,2,3,0,0,2020,,,8.0,8.0,1,42,N,P,N
75,CB-015910-3,134,Pendiente,01/04/2020,06/12/2019,2,0,2,0,0,0,3,0,0,2020,23/08/2021,2021.0,4.14,6.67,3,40,S,A,N
76,CA-016230-8,130,Pendiente,01/04/2020,16/12/2019,1,1,2,0,0,0,3,0,0,2020,,,7.0,7.0,1,42,N,P,N
77,CA-016215-4,130,Pendiente,01/04/2020,13/12/2019,2,0,2,0,0,0,3,0,0,2020,23/08/2021,2021.0,5.5,7.25,4,42,S,A,N
78,CA-016564-1,130,Aceptado,01/04/2020,11/02/2020,0,2,2,1,1,1,3,0,0,2020,,,6.0,6.0,1,42,N,P,N
79,CA-016776-8,130,Pendiente,01/04/2020,12/03/2020,2,0,2,0,0,0,3,0,0,2020,,,8.0,8.0,1,42,N,P,N
80,CA-016247-2,130,Aceptado,01/04/2020,18/12/2019,2,0,2,0,2,1,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
81,CA-016148-4,130,Aceptado,01/04/2020,20/11/2019,1,1,2,0,0,3,3,0,0,2020,,,6.0,6.0,1,42,N,P,N
82,CA-016154-9,130,Aceptado,01/04/2020,22/11/2019,2,0,2,0,2,1,3,0,0,2020,,2021.0,7.5,7.5,2,42,S,A,N
83,CA-016559-5,130,Pendiente,01/04/2020,10/02/2020,2,0,2,0,0,0,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
84,CA-016531-5,130,Aceptado,01/04/2020,04/02/2020,1,1,2,3,0,0,3,0,0,2020,19/08/2021,2021.0,7.33,7.33,17,42,S,A,S
85,CA-016143-3,130,Aceptado,01/04/2020,19/11/2019,1,1,2,1,0,2,3,0,0,2020,05/08/2021,2021.0,4.14,6.67,3,42,S,A,N
86,CA-016202-2,130,Pendiente,01/04/2020,11/12/2019,1,1,2,0,0,0,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
87,CA-016237-5,130,Aceptado,01/04/2020,17/12/2019,2,0,2,1,0,2,3,1,1,2020,19/08/2021,2021.0,7.17,7.17,10,42,S,A,S
88,CA-009540-6,130,Aceptado,01/04/2020,26/02/2020,1,1,2,0,1,2,3,0,0,2020,,2021.0,7.38,7.38,16,42,S,A,S
89,CA-015081-4,130,Pendiente,01/04/2020,12/02/2020,1,1,2,0,0,0,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
90,CA-016182-4,130,Pendiente,01/04/2020,06/12/2019,1,1,2,0,0,0,3,0,0,2020,20/03/2021,2021.0,5.0,7.25,4,42,S,A,N
91,CA-016245-6,130,Pendiente,01/04/2020,18/12/2019,2,0,2,0,0,0,3,0,0,2020,,,9.0,9.0,1,42,N,P,N
92,CA-016494-7,130,Pendiente,01/04/2020,10/02/2020,2,0,2,0,0,0,3,0,0,2020,,,8.0,8.0,1,42,N,P,N
93,CB-016494-8,134,Pendiente,01/04/2020,10/02/2020,1,1,2,0,0,0,3,0,0,2020,15/03/2021,2021.0,6.67,6.67,3,40,S,A,N
94,CA-016195-6,130,Pendiente,01/04/2020,10/12/2019,2,0,2,0,0,0,3,0,0,2020,,,9.0,9.0,1,42,N,P,N
95,CA-016572-2,130,Pendiente,01/04/2020,14/02/2020,2,0,2,0,0,0,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
96,CA-016163-8,130,Pendiente,01/04/2020,29/11/2019,2,0,2,0,0,0,3,0,0,2020,23/08/2021,2021.0,6.6,7.75,4,42,S,A,N
97,CA-016526-9,130,Aceptado,01/04/2020,04/02/2020,1,1,2,0,0,3,3,0,0,2020,,2021.0,7.0,7.0,2,42,S,A,N
98,CA-016189-1,130,Aceptado,01/04/2020,10/12/2019,2,0,2,2,0,1,3,0,0,2020,,,8.0,8.0,1,42,N,P,N
99,CA-016527-7,130,Aceptado,01/04/2020,04/02/2020,0,2,2,0,2,1,3,0,0,2020,19/08/2021,2021.0,8.08,8.08,17,42,S,A,S
100,CA-016184-1,130,Pendiente,01/04/2020,06/12/2019,2,0,2,0,0,0,3,0,0,2020,,2021.0,7.0,7.0,3,42,S,A,N
101,CA-016530-7,130,Aceptado,01/04/2020,04/02/2020,2,0,2,0,1,2,3,0,0,2020,,2021.0,7.0,7.0,2,42,S,A,N
102,CA-016543-9,130,Pendiente,01/04/2020,05/02/2020,0,2,2,0,0,0,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
103,CA-016541-2,130,Aceptado,01/04/2020,05/02/2020,1,1,2,0,1,2,3,0,0,2020,,2021.0,7.5,7.5,2,42,S,A,N
104,CA-005300-2,130,Aceptado,01/04/2020,26/02/2020,1,1,2,0,0,3,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
105,CA-016149-2,130,Aceptado,01/04/2020,20/11/2019,2,0,2,0,2,1,3,0,0,2020,23/08/2021,2021.0,5.23,6.88,13,42,S,A,S
106,CA-016523-4,130,Pendiente,01/04/2020,04/02/2020,1,1,2,0,0,0,3,0,0,2020,,,8.0,8.0,1,42,N,P,N
107,CA-016242-1,130,Aceptado,01/04/2020,18/12/2019,0,2,2,0,2,1,3,0,0,2020,,,8.0,8.0,1,42,N,P,N
108,CA-011910-1,130,Aceptado,01/04/2020,21/11/2019,1,1,2,1,1,1,3,0,0,2020,,2021.0,6.0,6.0,2,42,S,A,N
109,CA-008422-6,130,Aceptado,01/04/2020,07/11/2019,1,1,2,0,0,3,3,0,0,2020,,2021.0,7.14,7.14,32,42,S,A,S
110,CA-016211-1,130,Aceptado,01/04/2020,13/12/2019,1,1,2,0,1,2,3,0,0,2020,,2021.0,7.0,7.0,2,42,S,A,N
111,CA-016152-2,130,Aceptado,01/04/2020,21/11/2019,1,1,2,0,1,2,3,0,0,2020,23/08/2021,2021.0,7.38,7.38,20,42,S,A,S
112,CA-016151-4,130,Aceptado,01/04/2020,21/11/2019,1,1,2,0,0,3,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
113,CA-016550-1,130,Aceptado,01/04/2020,10/02/2020,2,0,2,1,1,1,3,0,0,2020,,2021.0,7.5,7.5,2,42,S,A,N
114,CA-016233-2,130,Pendiente,01/04/2020,16/12/2019,1,1,2,0,0,0,3,0,0,2020,27/02/2021,2021.0,7.14,7.14,8,42,S,A,S
115,CA-016235-9,130,Pendiente,01/04/2020,17/12/2019,2,0,2,0,0,0,3,0,0,2020,,2021.0,7.5,7.5,4,42,S,A,N
116,CA-016180-8,130,Aceptado,01/04/2020,05/12/2019,2,0,2,3,0,0,3,0,0,2020,17/12/2020,2021.0,6.25,7.67,3,42,S,A,N
117,CA-016528-5,130,Aceptado,01/04/2020,04/02/2020,2,0,2,0,1,2,3,0,0,2020,,,7.0,7.0,1,42,N,P,N
118,CA-016168-9,130,Pendiente,01/04/2020,03/12/2019,2,0,2,0,0,0,3,0,0,2020,20/03/2021,2021.0,4.5,7.0,5,42,S,A,S
119,CA-016563-3,130,Aceptado,01/04/2020,11/02/2020,2,0,2,0,0,3,3,0,0,2020,,,8.0,8.0,1,42,N,P,N
120,CA-016145-0,130,Aceptado,01/04/2020,19/11/2019,1,1,2,1,0,2,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
121,CA-016194-8,130,Aceptado,01/04/2020,10/12/2019,2,0,2,2,0,1,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
122,CA-016249-9,130,Pendiente,01/04/2020,18/12/2019,1,1,2,0,0,0,3,0,0,2020,,2021.0,6.67,6.67,3,42,S,A,N
123,CA-016167-1,130,Pendiente,01/04/2020,02/12/2019,1,1,2,0,0,0,3,0,0,2020,,,7.0,7.0,1,42,N,P,N
124,CA-016238-3,130,Pendiente,01/04/2020,17/12/2019,0,2,2,0,0,0,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
125,CA-016191-3,130,Pendiente,01/04/2020,10/12/2019,2,0,2,0,0,0,3,0,0,2020,20/08/2021,2021.0,6.4,7.57,7,42,S,A,S
126,CA-015854-8,130,Pendiente,01/04/2020,03/12/2019,2,0,2,0,0,0,3,0,0,2020,,2021.0,7.75,7.75,4,42,S,A,N
127,CB-015854-9,134,Pendiente,01/04/2020,03/12/2019,0,2,2,0,0,0,3,0,0,2020,23/08/2021,2021.0,6.6,7.75,4,40,S,A,N
128,CA-016565-0,130,Pendiente,01/04/2020,11/02/2020,0,2,2,0,0,0,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
129,CA-016178-6,130,Aceptado,01/04/2020,04/12/2019,2,0,2,0,0,3,3,0,0,2020,23/08/2021,2021.0,6.38,7.83,6,42,S,A,S
130,CA-016534-0,130,Aceptado,01/04/2020,04/02/2020,1,1,2,0,2,1,3,0,0,2020,,2021.0,7.0,7.0,3,42,S,A,N
131,CA-016228-6,130,Pendiente,01/04/2020,16/12/2019,1,1,2,0,0,0,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
132,CA-016165-4,130,Pendiente,01/04/2020,02/12/2019,2,0,2,0,0,0,3,0,0,2020,,,8.0,8.0,1,42,N,P,N
133,CA-016524-2,130,Aceptado,01/04/2020,04/02/2020,1,1,2,2,0,1,3,0,0,2020,23/08/2021,2021.0,6.2,7.25,4,42,S,A,N
134,CA-016560-9,130,Aceptado,01/04/2020,11/02/2020,1,1,2,0,0,3,3,1,1,2020,,2021.0,6.5,6.5,2,42,S,A,N
135,CA-016153-1,130,Aceptado,01/04/2020,21/11/2019,2,0,2,1,0,2,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
136,CA-016221-9,130,Aceptado,01/04/2020,13/12/2019,0,2,2,0,2,1,3,0,0,2020,,2021.0,7.5,7.5,2,42,S,A,N
137,CA-016542-1,130,Aceptado,01/04/2020,05/02/2020,2,0,2,2,0,1,3,0,0,2020,20/08/2021,2021.0,7.71,7.71,9,42,S,A,S
138,CA-016197-2,130,Pendiente,01/04/2020,11/12/2019,1,1,2,0,0,0,3,0,0,2020,20/08/2021,2021.0,6.23,7.2,10,42,S,A,S
139,CA-016171-9,130,Pendiente,01/04/2020,04/12/2019,1,1,2,0,0,0,3,0,0,2020,,2021.0,7.5,7.5,6,42,S,A,S
140,CA-016552-8,130,Aceptado,01/04/2020,10/02/2020,2,0,2,1,0,2,3,1,0,2020,20/08/2021,2021.0,5.0,8.0,5,42,S,A,S
141,CA-016525-1,130,Pendiente,01/04/2020,04/02/2020,2,0,2,0,0,0,3,0,0,2020,05/08/2021,2021.0,4.75,6.4,7,42,S,A,S
142,CA-016204-9,130,Pendiente,01/04/2020,11/12/2019,1,1,2,0,0,0,3,0,0,2020,,2021.0,6.0,6.0,2,42,S,A,N
143,CA-015074-1,130,Pendiente,01/04/2020,11/02/2020,1,1,2,0,0,0,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
144,CA-016234-1,130,Pendiente,01/04/2020,17/12/2019,1,1,2,0,0,0,3,0,0,2020,23/08/2021,2021.0,5.75,7.0,3,42,S,A,N
145,CA-016229-4,130,Aceptado,01/04/2020,16/12/2019,1,1,2,2,0,1,3,0,0,2020,,2021.0,7.5,7.5,2,42,S,A,N
146,CA-016208-1,130,Aceptado,01/04/2020,12/12/2019,1,1,2,1,1,1,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
147,CA-012191-1,130,Aceptado,01/04/2020,11/11/2019,0,2,2,1,0,2,3,0,0,2020,,2021.0,7.5,7.5,6,42,S,A,S
148,CB-015911-1,134,Pendiente,01/04/2020,06/12/2019,1,1,2,0,0,0,3,0,0,2020,27/02/2021,2021.0,6.0,7.33,3,40,S,A,N
149,CA-016177-8,130,Pendiente,01/04/2020,04/12/2019,1,1,2,0,0,0,3,0,0,2020,18/08/2021,2021.0,8.0,8.0,11,42,S,A,S
150,CA-016557-9,130,Aceptado,01/04/2020,10/02/2020,1,1,2,1,2,0,3,0,0,2020,,,8.0,8.0,1,42,N,P,N
151,CA-016548-0,130,Pendiente,01/04/2020,06/02/2020,2,0,2,0,0,0,3,0,0,2020,,2021.0,6.0,6.0,2,42,S,A,N
152,CA-016183-2,130,Pendiente,01/04/2020,06/12/2019,0,2,2,0,0,0,3,0,0,2020,24/02/2021,2021.0,6.5,6.5,2,42,S,A,N
153,CA-016544-7,130,Aceptado,01/04/2020,06/02/2020,1,1,2,0,0,3,3,0,0,2020,,,0.0,0.0,0,42,N,P,N
154,CA-016765-2,130,Aceptado,01/04/2020,03/03/2020,0,2,2,1,0,2,3,0,0,2020,,,6.0,6.0,1,42,N,P,N
155,CA-008588-5,130,Aceptado,01/04/2020,26/02/2020,1,1,2,0,1,2,3,0,0,2020,,2021.0,6.86,6.86,22,42,S,A,S
156,CA-016190-5,130,Aceptado,01/04/2020,10/12/2019,2,0,2,0,2,1,3,0,0,2020,20/03/2021,2021.0,7.2,7.2,5,42,S,A,S
157,CA-016169-7,130,Pendiente,01/04/2020,03/12/2019,1,1,2,0,0,0,3,0,0,2020,27/02/2021,2021.0,7.0,7.63,8,42,S,A,S
158,CA-006491-8,130,Aceptado,01/04/2020,20/11/2019,1,1,2,1,1,1,3,0,0,2020,19/12/2020,2021.0,7.3,7.3,38,42,S,A,S
159,CA-016157-3,130,Aceptado,01/04/2020,25/11/2019,0,2,2,0,1,2,3,0,0,2020,18/08/2021,2021.0,7.0,7.56,13,42,S,A,S
160,CA-008313-1,130,Aceptado,01/04/2020,26/02/2020,1,1,2,0,1,2,3,0,0,2020,,2021.0,7.81,7.81,37,42,S,A,S
161,CA-016223-5,130,Pendiente,01/04/2020,16/12/2019,1,1,2,0,0,0,3,0,0,2020,20/08/2021,2021.0,5.0,6.2,5,42,S,A,S
162,CB-015914-6,134,Aceptado,01/04/2020,06/12/2019,0,2,2,0,1,2,3,0,0,2020,,2021.0,8.0,8.0,2,40,S,A,N
163,CB-015898-1,134,Pendiente,01/04/2020,05/12/2019,0,2,2,0,0,0,3,0,0,2020,23/08/2021,2021.0,6.8,8.0,4,40,S,A,N
164,CB-015788-7,134,Pendiente,01/04/2020,19/11/2019,0,2,2,0,0,0,3,0,0,2020,,2021.0,7.5,7.5,2,40,S,A,N
165,CB-015884-1,134,Pendiente,01/04/2020,05/12/2019,1,1,2,0,0,0,3,0,0,2020,18/08/2021,2021.0,7.67,7.67,10,40,S,A,S
166,CB-016424-7,134,Pendiente,01/04/2020,05/02/2020,1,1,2,0,0,0,3,0,0,2020,,,0.0,0.0,0,40,N,P,N
167,CB-016073-0,134,Pendiente,01/04/2020,17/12/2019,1,1,2,0,0,0,3,0,0,2020,,,0.0,0.0,0,40,N,P,N
168,CB-016411-5,134,Aceptado,01/04/2020,04/02/2020,1,1,2,0,0,3,3,0,0,2020,,2021.0,7.5,7.5,2,40,S,A,N
169,CB-015958-8,134,Pendiente,01/04/2020,10/12/2019,1,1,2,0,0,0,3,0,0,2020,,2021.0,7.75,7.75,4,40,S,A,N
170,CB-015943-0,134,Pendiente,01/04/2020,10/12/2019,1,1,2,0,0,0,3,0,0,2020,,2021.0,8.8,8.8,5,40,S,A,S
171,CB-015921-9,134,Pendiente,01/04/2020,09/12/2019,1,1,2,0,0,0,3,0,0,2020,,,8.0,8.0,1,40,N,P,N
172,CB-015032-7,134,Aceptado,01/04/2020,12/02/2020,2,0,2,0,0,3,3,0,0,2020,,2021.0,8.5,8.5,2,40,S,A,N
173,CB-016009-8,134,Aceptado,01/04/2020,12/12/2019,1,1,2,2,1,0,3,0,0,2020,18/08/2021,2021.0,6.43,7.17,8,40,S,A,S
